District,Year,november,december,january,february,Yield
GAYA,2009,0.456,0.45,0.501,0.514,2.19
GAYA,2010,0.511,0.432,0.47,0.493,2.2
GAYA,2011,0.456,0.374,0.5,0.547,2.78
GAYA,2012,0.557,0.401,0.451,0.541,2.46
GAYA,2013,0.513,0.429,0.551,0.585,1.91
GAYA,2014,0.456,0.38,0.548,0.571,2.47
GOPALGANJ,2006,0.461,0.461,0.506,0.662,2.5
GOPALGANJ,2007,0.416,0.391,0.603,0.601,1.93
GOPALGANJ,2008,0.367,0.422,0.633,0.626,1.56
GOPALGANJ,2009,0.423,0.387,0.565,0.629,2.02
GOPALGANJ,2010,0.486,0.373,0.531,0.656,3.39
GOPALGANJ,2011,0.423,0.4,0.593,0.622,3.29
GOPALGANJ,2012,0.455,0.327,0.536,0.667,3.44
GOPALGANJ,2013,0.458,0.399,0.513,0.666,3.19
GOPALGANJ,2014,0.441,0.457,0.602,0.601,0.97
JAHANABAD,2006,0.529,0.403,0.478,0.643,2.2
JAHANABAD,2007,0.646,0.367,0.573,0.593,2.36
JAHANABAD,2008,0.517,0.347,0.522,0.544,2.21
JAHANABAD,2009,0.438,0.48,0.56,0.586,1.91
JAHANABAD,2010,0.502,0.417,0.461,0.538,1.97
JAHANABAD,2011,0.438,0.381,0.509,0.598,3.69
JAHANABAD,2012,0.61,0.402,0.469,0.621,3.39
JAHANABAD,2013,0.53,0.457,0.507,0.637,2.86
JAHANABAD,2014,0.475,0.41,0.594,0.607,2.86
JAMUI,2006,0.466,0.367,0.39,0.488,1.5
JAMUI,2007,0.578,0.354,0.466,0.481,1.76
JAMUI,2008,0.503,0.357,0.437,0.43,0.93
JAMUI,2009,0.571,0.385,0.403,0.433,0.99
JAMUI,2010,0.561,0.407,0.413,0.433,1.5
JAMUI,2011,0.571,0.358,0.432,0.473,2.73
JAMUI,2012,0.558,0.462,0.452,0.511,2.09
JAMUI,2013,0.541,0.438,0.489,0.514,2.01
JAMUI,2014,0.485,0.382,0.464,0.495,1.17
KATIHAR,2006,0.507,0.45,0.45,0.516,1.26
KATIHAR,2007,0.496,0.439,0.499,0.504,1.69
KATIHAR,2008,0.485,0.456,0.485,0.506,1.76
KATIHAR,2009,0.506,0.432,0.476,0.506,1.95
KATIHAR,2010,0.476,0.431,0.46,0.532,3.06
KATIHAR,2011,0.506,0.441,0.502,0.544,2.92
KATIHAR,2012,0.494,0.398,0.473,0.583,3.34
KATIHAR,2013,0.465,0.4,0.56,0.593,3.19
KATIHAR,2014,0.47,0.485,0.598,0.605,1.77
KHAGARIA,2006,0.399,0.468,0.537,0.687,1.48
KHAGARIA,2007,0.294,0.369,0.639,0.655,2.14
KHAGARIA,2008,0.394,0.475,0.641,0.652,0.78
KHAGARIA,2009,0.383,0.448,0.562,0.631,3.7
KHAGARIA,2010,0.406,0.427,0.557,0.67,1.72
KHAGARIA,2011,0.383,0.406,0.593,0.627,3.81
KHAGARIA,2012,0.439,0.366,0.494,0.69,3.02
KHAGARIA,2013,0.388,0.388,0.578,0.684,3.23
KHAGARIA,2014,0.371,0.506,0.649,0.678,1.12
KISHANGANJ,2006,0.487,0.421,0.409,0.432,1.29
KISHANGANJ,2007,0.483,0.368,0.415,0.402,1.02
