District,Year,june,july,august,september,october,november,Yield
AHMADNAGAR,2006,0.317,0.417,0.517,0.6,0.572,0.51,1.32
AHMADNAGAR,2007,0.35,0.462,0.527,0.593,0.525,0.461,1.53
AHMADNAGAR,2008,0.261,0.266,0.418,0.552,0.53,0.451,0.72
AHMADNAGAR,2009,0.281,0.396,0.473,0.592,0.548,0.498,0.92
AHMADNAGAR,2010,0.314,0.369,0.543,0.636,0.582,0.566,1.79
AHMADNAGAR,2011,0.317,0.396,0.473,0.592,0.548,0.498,2.09
AHMADNAGAR,2012,0.268,0.298,0.425,0.526,0.547,0.482,0.49
AHMADNAGAR,2013,0.253,0.323,0.547,0.59,0.587,0.515,1.13
AHMADNAGAR,2014,0.304,0.319,0.448,0.564,0.508,0.484,0.62
AKOLA,2006,0.234,0.29,0.573,0.664,0.627,0.55,1.65
AKOLA,2007,0.237,0.446,0.649,0.696,0.59,0.513,2
AKOLA,2008,0.202,0.297,0.62,0.701,0.609,0.497,0.21
AKOLA,2009,0.192,0.281,0.577,0.732,0.622,0.553,0.97
AKOLA,2010,0.245,0.397,0.63,0.689,0.583,0.615,1.88
AKOLA,2011,0.231,0.281,0.577,0.732,0.622,0.553,1.19
AKOLA,2012,0.238,0.359,0.656,0.73,0.626,0.527,1.92
AKOLA,2013,0.224,0.281,0.608,0.753,0.662,0.571,1.03
AKOLA,2014,0.226,0.225,0.566,0.735,0.637,0.484,0.3
AMARAVATI,2006,0.25,0.251,0.602,0.706,0.64,0.581,1.49
AMARAVATI,2007,0.25,0.491,0.676,0.721,0.603,0.516,1.7
AMARAVATI,2008,0.227,0.326,0.603,0.726,0.633,0.515,0.33
AMARAVATI,2009,0.209,0.379,0.618,0.752,0.625,0.562,0.81
AMARAVATI,2010,0.253,0.409,0.664,0.712,0.613,0.643,1.63
AMARAVATI,2011,0.248,0.378,0.618,0.752,0.625,0.562,1.26
AMARAVATI,2012,0.258,0.356,0.679,0.744,0.615,0.563,1.52
AMARAVATI,2013,0.244,0.318,0.585,0.771,0.693,0.622,0.96
AMARAVATI,2014,0.246,0.276,0.566,0.726,0.664,0.536,0.35
AURANGABAD,2006,0.262,0.328,0.496,0.667,0.639,0.552,1.56
AURANGABAD,2007,0.28,0.405,0.578,0.72,0.639,0.51,1.6
AURANGABAD,2008,0.222,0.245,0.475,0.608,0.579,0.494,0.82
AURANGABAD,2009,0.224,0.292,0.461,0.653,0.617,0.544,1.12
AURANGABAD,2010,0.247,0.29,0.573,0.697,0.625,0.617,2.13
AURANGABAD,2011,0.276,0.291,0.461,0.653,0.617,0.544,1.42
AURANGABAD,2012,0.249,0.266,0.488,0.649,0.631,0.502,0.74
AURANGABAD,2013,0.244,0.316,0.584,0.728,0.668,0.592,1.09
AURANGABAD,2014,0.256,0.277,0.517,0.674,0.617,0.512,0.45
BHANDARA,2006,0.358,0.314,0.574,0.751,0.702,0.509,0.84
BHANDARA,2007,0.281,0.436,0.65,0.784,0.67,0.482,1.14
BHANDARA,2008,0.272,0.472,0.558,0.755,0.709,0.528,1.19
BHANDARA,2009,0.251,0.349,0.59,0.766,0.702,0.551,0.81
BHANDARA,2010,0.35,0.411,0.621,0.753,0.714,0.55,1.73
BHANDARA,2011,0.309,0.348,0.59,0.766,0.702,0.551,0.68
BHANDARA,2012,0.339,0.426,0.603,0.759,0.701,0.529,0.8
BHANDARA,2013,0.343,0.391,0.501,0.781,0.742,0.556,0.4
BHANDARA,2014,0.309,0.356,0.62,0.762,0.761,0.575,0.46
BID,2006,0.315,0.346,0.487,0.602,0.605,0.547,0.82
BID,2007,0.297,0.386,0.553,0.652,0.58,0.491,0.45
BID,2008,0.224,0.222,0.438,0.602,0.576,0.49,0.2
BID,2009,0.239,0.34,0.428,0.657,0.626,0.574,0.51
BID,2010,0.279,0.296,0.545,0.709,0.625,0.619,1.37
BID,2011,0.292,0.34,0.428,0.657,0.626,0.574,1.55
BID,2012,0.24,0.315,0.512,0.623,0.599,0.543,1.66
BID,2013,0.226,0.282,0.548,0.69,0.665,0.597,1.86
BID,2014,0.265,0.298,0.504,0.666,0.557,0.504,0.35
BULDHANA,2006,0.237,0.31,0.614,0.694,0.618,0.528,1.26
BULDHANA,2007,0.239,0.476,0.698,0.752,0.581,0.5,2.01
BULDHANA,2008,0.202,0.281,0.634,0.738,0.597,0.469,0.29
BULDHANA,2009,0.194,0.32,0.573,0.755,0.61,0.58,0.74
BULDHANA,2010,0.214,0.432,0.668,0.688,0.596,0.614,1.85
BULDHANA,2011,0.238,0.32,0.573,0.755,0.61,0.58,1.45
BULDHANA,2012,0.225,0.324,0.669,0.76,0.631,0.527,1.54
