District,Year,october,november,december,january,february,Yield
Muzaffar Nagar,2014,0.648,0.511,0.47,0.568,0.594,2.81
Muzaffar Nagar,2015,0.661,0.556,0.475,0.483,0.581,3.57
Muzaffar Nagar,2016,0.634,0.563,0.471,0.567,0.626,4.17
Muzaffar Nagar,2017,0.658,0.507,0.519,0.524,0.591,3.99
Muzaffar Nagar,2018,0.646,0.562,0.497,0.539,0.595,4.25
Pilhibhit,2006,0.661,0.428,0.54,0.614,0.668,3.33
Pilhibhit,2007,0.605,0.423,0.521,0.616,0.628,3.7
Pilhibhit,2008,0.561,0.401,0.548,0.671,0.683,3.64
Pilhibhit,2009,0.6,0.433,0.506,0.638,0.699,3.38
Pilhibhit,2010,0.606,0.421,0.507,0.609,0.681,3.79
Pilhibhit,2011,0.6,0.433,0.545,0.631,0.623,3.83
Pilhibhit,2012,0.635,0.461,0.527,0.59,0.678,3.61
Pilhibhit,2013,0.676,0.435,0.559,0.685,0.698,3.66
Pilhibhit,2014,0.627,0.416,0.579,0.682,0.691,2.57
Pilhibhit,2015,0.591,0.424,0.56,0.637,0.666,3.88
Pilhibhit,2016,0.555,0.462,0.578,0.682,0.695,4.2
Pilhibhit,2017,0.643,0.482,0.615,0.629,0.686,4.24
Pilhibhit,2018,0.653,0.461,0.567,0.665,0.7,4.44
Pratapgarh,2006,0.562,0.412,0.49,0.555,0.602,2.44
Pratapgarh,2007,0.633,0.422,0.418,0.545,0.58,2.32
Pratapgarh,2008,0.551,0.403,0.481,0.609,0.59,2.72
Pratapgarh,2009,0.575,0.438,0.479,0.613,0.628,2.38
Pratapgarh,2010,0.584,0.465,0.439,0.573,0.639,2.81
Pratapgarh,2011,0.575,0.438,0.448,0.608,0.643,2.93
Pratapgarh,2012,0.592,0.417,0.446,0.58,0.678,2.82
Pratapgarh,2013,0.651,0.453,0.485,0.614,0.669,2.81
Pratapgarh,2014,0.61,0.429,0.5,0.665,0.643,1.38
Pratapgarh,2015,0.575,0.369,0.431,0.594,0.629,2.19
Pratapgarh,2016,0.625,0.443,0.438,0.664,0.664,3.08
Pratapgarh,2017,0.616,0.425,0.482,0.624,0.656,3.17
Pratapgarh,2018,0.611,0.438,0.457,0.65,0.693,3.42
Rae Bareli,2006,0.515,0.406,0.49,0.575,0.629,2.34
Rae Bareli,2007,0.555,0.403,0.411,0.549,0.571,2.33
Rae Bareli,2008,0.515,0.425,0.45,0.599,0.625,2.55
Rae Bareli,2009,0.541,0.439,0.467,0.603,0.665,2.5
Rae Bareli,2010,0.561,0.456,0.4,0.513,0.658,2.7
Rae Bareli,2011,0.541,0.439,0.402,0.565,0.649,2.87
Rae Bareli,2012,0.571,0.418,0.406,0.56,0.683,2.84
Rae Bareli,2013,0.626,0.453,0.452,0.594,0.685,2.97
Rae Bareli,2014,0.597,0.428,0.482,0.67,0.673,1.61
Rae Bareli,2015,0.538,0.373,0.416,0.581,0.639,1.97
Rae Bareli,2016,0.589,0.436,0.441,0.666,0.702,3.28
Rae Bareli,2017,0.638,0.415,0.472,0.641,0.687,3.36
Rae Bareli,2018,0.575,0.448,0.432,0.652,0.714,3.45
Rampur,2006,0.627,0.416,0.559,0.609,0.672,3.22
Rampur,2007,0.609,0.435,0.476,0.602,0.622,3.38
Rampur,2008,0.525,0.394,0.535,0.674,0.671,3.46
Rampur,2009,0.591,0.405,0.506,0.653,0.692,3.27
Rampur,2010,0.503,0.395,0.467,0.583,0.695,3.4
Rampur,2011,0.591,0.405,0.489,0.589,0.586,3.5
Rampur,2012,0.587,0.419,0.497,0.562,0.666,3.47
Rampur,2013,0.691,0.427,0.577,0.71,0.717,3.45
Rampur,2014,0.555,0.383,0.588,0.716,0.7,1.79
Rampur,2015,0.553,0.414,0.502,0.585,0.672,3.42
Rampur,2016,0.51,0.433,0.529,0.664,0.705,3.92
Rampur,2017,0.591,0.437,0.6,0.648,0.708,4.01
Rampur,2018,0.59,0.433,0.584,0.688,0.7,4.3
Saharanpur,2006,0.63,0.519,0.524,0.526,0.624,2.94
Saharanpur,2007,0.575,0.49,0.453,0.538,0.539,2.88
Saharanpur,2008,0.53,0.471,0.49,0.637,0.664,2.96
Saharanpur,2009,0.628,0.458,0.439,0.575,0.633,3.05
Saharanpur,2010,0.597,0.479,0.445,0.536,0.657,3
Saharanpur,2011,0.628,0.457,0.456,0.568,0.599,3.48
Saharanpur,2012,0.627,0.516,0.477,0.531,0.658,3.39
Saharanpur,2013,0.664,0.515,0.521,0.61,0.678,3.47
Saharanpur,2014,0.624,0.48,0.514,0.637,0.661,2.05
Saharanpur,2015,0.635,0.496,0.475,0.541,0.649,3.36
Saharanpur,2016,0.599,0.506,0.5,0.651,0.688,3.76
Saharanpur,2017,0.642,0.489,0.57,0.614,0.667,3.89
Saharanpur,2018,0.633,0.508,0.552,0.642,0.673,4.22
Sant Kabir Nagar,2006,0.636,0.377,0.531,0.596,0.685,2.46
Sant Kabir Nagar,2007,0.627,0.395,0.488,0.663,0.664,2.64
Sant Kabir Nagar,2008,0.56,0.377,0.472,0.702,0.684,2.7
Sant Kabir Nagar,2009,0.611,0.39,0.476,0.653,0.707,2.76
Sant Kabir Nagar,2010,0.658,0.479,0.432,0.652,0.724,2.77
Sant Kabir Nagar,2011,0.611,0.39,0.483,0.694,0.716,2.91
Sant Kabir Nagar,2012,0.642,0.412,0.39,0.642,0.763,2.98
Sant Kabir Nagar,2013,0.657,0.413,0.556,0.661,0.745,3.3
Sant Kabir Nagar,2014,0.649,0.425,0.518,0.68,0.697,2.48
Sant Kabir Nagar,2015,0.615,0.395,0.386,0.605,0.707,2.54
Sant Kabir Nagar,2016,0.635,0.409,0.435,0.717,0.744,3.38
Sant Kabir Nagar,2017,0.636,0.412,0.514,0.692,0.76,3.21
Sant Kabir Nagar,2018,0.606,0.384,0.447,0.718,0.771,3.36
Sant Ravidas Nagar,2006,0.62,0.417,0.467,0.512,0.621,2.44
Sant Ravidas Nagar,2007,0.651,0.432,0.353,0.542,0.566,2.2
Sant Ravidas Nagar,2008,0.547,0.39,0.449,0.605,0.598,2.61
Sant Ravidas Nagar,2009,0.6,0.429,0.449,0.609,0.633,2.23
Sant Ravidas Nagar,2010,0.652,0.5,0.385,0.501,0.62,2.87
Sant Ravidas Nagar,2011,0.6,0.429,0.393,0.581,0.63,3.14
Sant Ravidas Nagar,2012,0.624,0.469,0.372,0.561,0.687,2.85
Sant Ravidas Nagar,2013,0.625,0.516,0.399,0.535,0.667,2.73
Sant Ravidas Nagar,2014,0.639,0.449,0.42,0.645,0.642,1.54
Sant Ravidas Nagar,2015,0.567,0.384,0.374,0.57,0.644,2.22
Sant Ravidas Nagar,2016,0.666,0.437,0.388,0.638,0.685,3.32
Sant Ravidas Nagar,2017,0.611,0.417,0.426,0.602,0.658,3.81
Sant Ravidas Nagar,2018,0.604,0.45,0.374,0.638,0.683,3.75
Shah Jahanpur,2006,0.554,0.382,0.525,0.603,0.686,3.44
Shah Jahanpur,2007,0.588,0.39,0.461,0.616,0.627,3.6
Shah Jahanpur,2008,0.538,0.368,0.494,0.673,0.695,3.6
Shah Jahanpur,2009,0.592,0.396,0.518,0.654,0.711,3.58
Shah Jahanpur,2010,0.585,0.392,0.432,0.563,0.711,3.6
Shah Jahanpur,2011,0.592,0.396,0.479,0.624,0.629,3.8
Shah Jahanpur,2012,0.656,0.432,0.461,0.561,0.697,3.63
Shah Jahanpur,2013,0.63,0.418,0.569,0.691,0.727,3.66
Shah Jahanpur,2014,0.592,0.363,0.503,0.702,0.73,1.98
Shah Jahanpur,2015,0.545,0.368,0.475,0.643,0.689,3.51
Shah Jahanpur,2016,0.528,0.401,0.491,0.689,0.731,4.21
Shah Jahanpur,2017,0.65,0.413,0.569,0.652,0.706,4
Shah Jahanpur,2018,0.644,0.419,0.521,0.67,0.717,4.47
Shrawasti,2006,0.589,0.411,0.484,0.578,0.65,2.62
Shrawasti,2007,0.626,0.409,0.444,0.591,0.603,2.31
Shrawasti,2008,0.593,0.395,0.43,0.632,0.645,2.67
Shrawasti,2009,0.6,0.425,0.442,0.596,0.654,2.67
Shrawasti,2010,0.652,0.438,0.359,0.523,0.645,2.72
Shrawasti,2011,0.599,0.425,0.403,0.603,0.645,2.95
Shrawasti,2012,0.619,0.458,0.416,0.562,0.691,2.69
Shrawasti,2013,0.687,0.415,0.456,0.638,0.684,3.05
Shrawasti,2014,0.647,0.407,0.518,0.669,0.692,2.68
Shrawasti,2015,0.618,0.449,0.412,0.515,0.627,2.66
Shrawasti,2016,0.634,0.407,0.436,0.65,0.682,3
Shrawasti,2017,0.647,0.445,0.482,0.612,0.687,3.22
Shrawasti,2018,0.612,0.422,0.442,0.598,0.696,3.42
Siddharth Nagar,2006,0.675,0.394,0.535,0.594,0.701,2.52
Siddharth Nagar,2007,0.66,0.417,0.469,0.647,0.644,2.25
Siddharth Nagar,2008,0.672,0.393,0.47,0.689,0.672,2.53
Siddharth Nagar,2009,0.676,0.438,0.447,0.629,0.71,2.33
Siddharth Nagar,2010,0.71,0.44,0.417,0.631,0.735,3.14
Siddharth Nagar,2011,0.676,0.439,0.485,0.685,0.724,3.41
Siddharth Nagar,2012,0.717,0.44,0.412,0.647,0.771,3.55
Siddharth Nagar,2013,0.71,0.386,0.52,0.699,0.751,3.78
Siddharth Nagar,2014,0.691,0.44,0.547,0.714,0.726,2.53
Siddharth Nagar,2015,0.655,0.472,0.415,0.584,0.729,3.34
Siddharth Nagar,2016,0.687,0.418,0.456,0.748,0.748,3.96
Siddharth Nagar,2017,0.67,0.407,0.542,0.714,0.777,3.98
Siddharth Nagar,2018,0.64,0.405,0.512,0.747,0.781,4.38
Sitapur,2006,0.533,0.429,0.472,0.516,0.576,2.74
Sitapur,2007,0.599,0.433,0.414,0.529,0.544,2.77
Sitapur,2008,0.523,0.407,0.433,0.601,0.607,2.93
Sitapur,2009,0.601,0.429,0.431,0.552,0.625,2.65
Sitapur,2010,0.599,0.459,0.4,0.487,0.607,3.07
Sitapur,2011,0.601,0.429,0.421,0.543,0.562,3.16
Sitapur,2012,0.619,0.439,0.422,0.442,0.617,3.18
Sitapur,2013,0.652,0.45,0.467,0.584,0.631,3.09
Sitapur,2014,0.639,0.452,0.494,0.635,0.647,1.78
Sitapur,2015,0.622,0.468,0.394,0.494,0.557,2.49
Sitapur,2016,0.626,0.457,0.43,0.588,0.652,3.37
Sitapur,2017,0.66,0.473,0.487,0.545,0.609,3.25
Sitapur,2018,0.641,0.468,0.451,0.561,0.638,3.48
Sonbhadra,2006,0.596,0.47,0.4,0.415,0.445,1.29
Sonbhadra,2007,0.6,0.488,0.437,0.477,0.489,1.59
Sonbhadra,2008,0.571,0.43,0.384,0.424,0.403,1.51
Sonbhadra,2009,0.579,0.486,0.505,0.519,0.496,1.9
Sonbhadra,2010,0.617,0.52,0.414,0.425,0.434,1.72
Sonbhadra,2011,0.579,0.486,0.413,0.483,0.496,1.89
Sonbhadra,2012,0.641,0.511,0.425,0.462,0.512,2.14
Sonbhadra,2013,0.704,0.579,0.432,0.547,0.552,2.35
Sonbhadra,2014,0.673,0.492,0.412,0.525,0.512,2.04
Sonbhadra,2015,0.611,0.474,0.41,0.444,0.479,1.59
Sonbhadra,2016,0.719,0.52,0.434,0.546,0.547,2.41
Sonbhadra,2017,0.665,0.521,0.415,0.457,0.474,2.36
Sonbhadra,2018,0.65,0.498,0.412,0.532,0.539,2.7
Sultanpur,2006,0.592,0.419,0.47,0.555,0.634,2.73
Sultanpur,2007,0.647,0.438,0.435,0.581,0.601,2.79
Sultanpur,2008,0.561,0.406,0.463,0.615,0.611,2.82
Sultanpur,2009,0.642,0.459,0.46,0.6,0.655,2.73
Sultanpur,2010,0.639,0.491,0.432,0.557,0.66,3.17
Sultanpur,2011,0.642,0.459,0.433,0.599,0.653,3.19
Sultanpur,2012,0.625,0.443,0.416,0.553,0.687,3.11
Sultanpur,2013,0.66,0.445,0.476,0.595,0.674,2.46
Sultanpur,2014,0.633,0.428,0.486,0.662,0.681,2.29
Sultanpur,2015,0.597,0.407,0.418,0.57,0.631,2.84
Sultanpur,2016,0.658,0.455,0.445,0.632,0.683,3.39
Sultanpur,2017,0.643,0.453,0.482,0.615,0.665,4.03
Sultanpur,2018,0.623,0.453,0.433,0.643,0.699,4.17
Unnao,2006,0.423,0.379,0.471,0.593,0.645,2.86
Unnao,2007,0.489,0.359,0.385,0.589,0.602,2.65
Unnao,2008,0.479,0.397,0.474,0.629,0.64,2.96
Unnao,2009,0.506,0.411,0.504,0.633,0.682,2.76
Unnao,2010,0.498,0.423,0.412,0.542,0.693,2.97
Unnao,2011,0.506,0.411,0.435,0.605,0.671,2.98
Unnao,2012,0.542,0.382,0.409,0.571,0.696,2.86
Unnao,2013,0.591,0.423,0.494,0.651,0.711,3.05
Unnao,2014,0.544,0.447,0.508,0.685,0.696,2.01
Unnao,2015,0.475,0.377,0.403,0.576,0.653,2.22
Unnao,2016,0.514,0.392,0.449,0.668,0.712,3.19
Unnao,2017,0.568,0.4,0.462,0.662,0.704,3.27
Unnao,2018,0.516,0.413,0.456,0.676,0.719,3.87
Varanasi,2006,0.608,0.41,0.478,0.518,0.632,2.53
Varanasi,2007,0.634,0.443,0.379,0.585,0.604,2.54
Varanasi,2008,0.523,0.378,0.44,0.607,0.608,2.82
Varanasi,2009,0.515,0.394,0.462,0.615,0.642,2.51
Varanasi,2010,0.58,0.454,0.393,0.511,0.616,2.8
Varanasi,2011,0.515,0.394,0.411,0.586,0.619,3.02
Varanasi,2012,0.578,0.434,0.389,0.579,0.686,3.08
Varanasi,2013,0.586,0.469,0.413,0.565,0.656,2.72
Varanasi,2014,0.613,0.431,0.444,0.64,0.627,1.85
Varanasi,2015,0.545,0.434,0.399,0.577,0.644,2.41
Varanasi,2016,0.646,0.381,0.405,0.644,0.668,3.37
Varanasi,2017,0.569,0.408,0.438,0.59,0.629,3.38
Varanasi,2018,0.585,0.417,0.38,0.62,0.664,3.5
