District,Year,june,july,august,september,october,november,Yield
Amritsar,2006,0.263,0.526,0.755,0.586,0.403,0.422,3.02
Amritsar,2007,0.302,0.601,0.734,0.602,0.406,0.353,3.07
Amritsar,2008,0.276,0.496,0.706,0.68,0.413,0.357,2.91
Amritsar,2009,0.24,0.404,0.746,0.768,0.549,0.336,2.71
Amritsar,2010,0.24,0.376,0.721,0.746,0.562,0.372,2.7
Amritsar,2011,0.262,0.404,0.746,0.768,0.549,0.336,2.62
Amritsar,2012,0.23,0.412,0.723,0.78,0.478,0.391,2.94
Amritsar,2013,0.276,0.479,0.761,0.719,0.485,0.372,2.85
Amritsar,2014,0.233,0.428,0.688,0.721,0.488,0.397,2.77
Barnala,2006,0.208,0.556,0.784,0.749,0.541,0.31,0
Barnala,2007,0.257,0.546,0.78,0.74,0.537,0.295,4.71
Barnala,2008,0.238,0.522,0.764,0.747,0.54,0.297,4.75
Barnala,2009,0.217,0.538,0.768,0.791,0.564,0.25,4.77
Barnala,2010,0.225,0.392,0.828,0.793,0.684,0.299,4.43
Barnala,2011,0.228,0.538,0.768,0.791,0.564,0.25,4.37
Barnala,2012,0.188,0.457,0.718,0.82,0.646,0.315,4.62
Barnala,2013,0.226,0.508,0.783,0.768,0.596,0.308,4.67
Barnala,2014,0.192,0.532,0.757,0.797,0.559,0.307,4.69
Bathinda,2006,0.231,0.448,0.679,0.689,0.518,0.374,4.11
Bathinda,2007,0.242,0.461,0.677,0.722,0.521,0.355,4.28
Bathinda,2008,0.214,0.471,0.716,0.715,0.502,0.347,4.4
Bathinda,2009,0.22,0.466,0.669,0.731,0.552,0.292,4.58
Bathinda,2010,0.217,0.388,0.764,0.749,0.62,0.371,4.08
Bathinda,2011,0.202,0.466,0.669,0.731,0.552,0.292,4.05
Bathinda,2012,0.185,0.422,0.683,0.783,0.609,0.374,4.28
Bathinda,2013,0.241,0.411,0.715,0.72,0.544,0.353,4.51
Bathinda,2014,0.192,0.4,0.696,0.76,0.52,0.319,4.45
Faridkot,2006,0.234,0.529,0.726,0.634,0.396,0.341,3.98
Faridkot,2007,0.288,0.565,0.706,0.647,0.391,0.311,4.03
Faridkot,2008,0.221,0.538,0.718,0.675,0.366,0.281,4.36
Faridkot,2009,0.216,0.538,0.711,0.725,0.453,0.255,4.22
Faridkot,2010,0.207,0.414,0.781,0.734,0.527,0.286,4.05
Faridkot,2011,0.212,0.538,0.711,0.725,0.453,0.255,4.01
Faridkot,2012,0.187,0.486,0.717,0.781,0.495,0.307,4.35
Faridkot,2013,0.21,0.534,0.749,0.711,0.451,0.331,4.26
Faridkot,2014,0.186,0.422,0.711,0.754,0.436,0.306,3.97
Fatehgarh Sahib,2006,0.221,0.464,0.816,0.77,0.599,0.368,4.05
Fatehgarh Sahib,2007,0.277,0.597,0.808,0.781,0.574,0.308,4.56
Fatehgarh Sahib,2008,0.275,0.52,0.774,0.77,0.544,0.311,4.27
Fatehgarh Sahib,2009,0.251,0.515,0.786,0.801,0.574,0.291,4.55
Fatehgarh Sahib,2010,0.272,0.451,0.844,0.767,0.644,0.342,4.21
Fatehgarh Sahib,2011,0.283,0.516,0.786,0.801,0.574,0.291,4.23
Fatehgarh Sahib,2012,0.234,0.469,0.817,0.835,0.661,0.323,4.47
Fatehgarh Sahib,2013,0.258,0.659,0.787,0.77,0.576,0.336,4.08
Fatehgarh Sahib,2014,0.246,0.487,0.764,0.789,0.48,0.376,4.35
Fazilka,2006,0.253,0.488,0.677,0.658,0.496,0.396,3.18
Fazilka,2007,0.267,0.471,0.656,0.703,0.548,0.398,3.18
Fazilka,2008,0.211,0.419,0.659,0.67,0.477,0.351,3.18
Fazilka,2009,0.211,0.339,0.632,0.684,0.516,0.315,3.18
Fazilka,2010,0.216,0.362,0.68,0.707,0.586,0.39,3.18
Fazilka,2011,0.243,0.339,0.632,0.684,0.516,0.314,3.18
Fazilka,2012,0.202,0.392,0.661,0.731,0.61,0.374,3.42
Fazilka,2013,0.247,0.451,0.683,0.683,0.548,0.374,3.18
Fazilka,2014,0.217,0.384,0.611,0.705,0.61,0.389,3.06
Firozepur,2006,0.222,0.604,0.789,0.618,0.29,0.327,4.03
Firozepur,2007,0.308,0.649,0.744,0.651,0.346,0.269,4.16
Firozepur,2008,0.202,0.572,0.747,0.715,0.345,0.271,4.04
Firozepur,2009,0.207,0.49,0.768,0.757,0.525,0.233,3.68
Firozepur,2010,0.206,0.43,0.793,0.755,0.535,0.287,3.7
Firozepur,2011,0.221,0.49,0.768,0.757,0.525,0.233,3.46
Firozepur,2012,0.19,0.493,0.781,0.811,0.473,0.293,4.21
Firozepur,2013,0.204,0.541,0.771,0.759,0.464,0.266,4.19
Firozepur,2014,0.189,0.404,0.748,0.789,0.497,0.301,3.88
Gurdaspur,2006,0.242,0.536,0.787,0.673,0.407,0.462,3.16
Gurdaspur,2007,0.327,0.597,0.792,0.708,0.413,0.396,3.23
Gurdaspur,2008,0.293,0.485,0.746,0.722,0.42,0.353,3.3
Gurdaspur,2009,0.237,0.44,0.78,0.784,0.479,0.314,3.14
Gurdaspur,2010,0.244,0.431,0.763,0.784,0.603,0.356,3.46
Gurdaspur,2011,0.282,0.44,0.78,0.784,0.479,0.314,3.23
Gurdaspur,2012,0.252,0.473,0.751,0.805,0.544,0.383,3.11
Gurdaspur,2013,0.31,0.594,0.79,0.754,0.527,0.373,2.93
Gurdaspur,2014,0.259,0.456,0.716,0.768,0.505,0.386,2.61
Hoshiarpur,2006,0.325,0.506,0.72,0.663,0.5,0.484,2.8
Hoshiarpur,2007,0.347,0.598,0.709,0.651,0.46,0.427,3.3
Hoshiarpur,2008,0.39,0.56,0.703,0.619,0.46,0.433,3.48
Hoshiarpur,2009,0.303,0.491,0.696,0.676,0.484,0.414,3.54
Hoshiarpur,2010,0.313,0.521,0.719,0.698,0.555,0.43,3.58
Hoshiarpur,2011,0.381,0.491,0.696,0.676,0.484,0.414,3.64
Hoshiarpur,2012,0.324,0.509,0.708,0.715,0.567,0.458,3.6
Hoshiarpur,2013,0.408,0.66,0.745,0.675,0.557,0.465,3.6
Hoshiarpur,2014,0.335,0.519,0.7,0.707,0.519,0.473,3.44
Jalandhar,2006,0.266,0.495,0.746,0.702,0.442,0.417,3.5
Jalandhar,2007,0.325,0.585,0.716,0.669,0.412,0.362,3.72
Jalandhar,2008,0.329,0.519,0.705,0.664,0.409,0.387,3.79
Jalandhar,2009,0.267,0.481,0.732,0.731,0.476,0.336,3.95
Jalandhar,2010,0.27,0.441,0.761,0.709,0.54,0.378,3.61
Jalandhar,2011,0.307,0.481,0.732,0.732,0.476,0.336,3.53
Jalandhar,2012,0.284,0.448,0.707,0.761,0.511,0.398,3.79
Jalandhar,2013,0.332,0.583,0.747,0.731,0.502,0.36,3.57
Jalandhar,2014,0.284,0.496,0.704,0.747,0.47,0.401,3.69
Kapurthala,2006,0.242,0.52,0.781,0.705,0.376,0.426,3.76
Kapurthala,2007,0.293,0.616,0.755,0.676,0.368,0.351,3.89
Kapurthala,2008,0.287,0.541,0.718,0.68,0.367,0.381,3.75
Kapurthala,2009,0.25,0.495,0.765,0.769,0.502,0.311,3.93
Kapurthala,2010,0.25,0.427,0.776,0.742,0.523,0.357,3.9
Kapurthala,2011,0.292,0.495,0.765,0.769,0.502,0.311,3.67
Kapurthala,2012,0.27,0.455,0.755,0.781,0.466,0.392,3.8
Kapurthala,2013,0.303,0.577,0.777,0.738,0.466,0.341,3.85
Kapurthala,2014,0.265,0.493,0.727,0.775,0.429,0.404,3.75
Ludhiana,2006,0.219,0.507,0.788,0.754,0.494,0.35,4.37
Ludhiana,2007,0.287,0.597,0.758,0.725,0.51,0.3,4.53
Ludhiana,2008,0.274,0.509,0.749,0.734,0.528,0.323,4.47
Ludhiana,2009,0.24,0.53,0.752,0.763,0.511,0.285,4.69
Ludhiana,2010,0.253,0.393,0.793,0.757,0.64,0.329,4.41
Ludhiana,2011,0.272,0.53,0.751,0.763,0.511,0.285,4.26
Ludhiana,2012,0.221,0.456,0.741,0.789,0.615,0.342,4.55
Ludhiana,2013,0.264,0.617,0.757,0.739,0.59,0.322,4.42
Ludhiana,2014,0.233,0.518,0.746,0.776,0.53,0.341,4.35
Mansa,2006,0.228,0.412,0.647,0.701,0.564,0.359,4.18
Mansa,2007,0.237,0.422,0.657,0.734,0.564,0.366,4.13
Mansa,2008,0.265,0.434,0.698,0.712,0.549,0.343,4.17
Mansa,2009,0.217,0.416,0.649,0.741,0.596,0.283,4.21
Mansa,2010,0.224,0.351,0.724,0.75,0.663,0.375,4.05
Mansa,2011,0.204,0.416,0.649,0.741,0.596,0.284,3.95
Mansa,2012,0.18,0.391,0.683,0.818,0.647,0.375,4.12
Mansa,2013,0.232,0.391,0.708,0.722,0.577,0.335,4.12
Mansa,2014,0.191,0.382,0.692,0.75,0.527,0.3,3.61
Moga,2006,0.213,0.579,0.796,0.723,0.451,0.325,4.23
Moga,2007,0.264,0.578,0.777,0.728,0.469,0.275,4.43
Moga,2008,0.216,0.575,0.771,0.735,0.451,0.287,4.6
Moga,2009,0.218,0.536,0.768,0.78,0.507,0.242,4.72
Moga,2010,0.23,0.413,0.812,0.775,0.638,0.29,4.33
Moga,2011,0.233,0.536,0.768,0.78,0.507,0.242,4.36
Moga,2012,0.196,0.48,0.756,0.829,0.595,0.311,4.51
Moga,2013,0.22,0.524,0.784,0.777,0.568,0.293,4.63
Moga,2014,0.197,0.452,0.757,0.797,0.519,0.3,4.6
Muktsar,2006,0.264,0.507,0.706,0.675,0.496,0.396,4
Muktsar,2007,0.264,0.516,0.67,0.69,0.487,0.371,4.16
Muktsar,2008,0.209,0.5,0.691,0.679,0.437,0.331,4.23
Muktsar,2009,0.235,0.42,0.681,0.68,0.48,0.296,3.87
Muktsar,2010,0.214,0.421,0.754,0.742,0.578,0.36,3.89
Muktsar,2011,0.218,0.42,0.681,0.68,0.48,0.296,3.56
Muktsar,2012,0.185,0.415,0.72,0.775,0.568,0.35,3.99
Muktsar,2013,0.225,0.508,0.726,0.702,0.531,0.338,3.97
Muktsar,2014,0.189,0.388,0.665,0.734,0.551,0.328,3.81
Nawanshahr,2006,0.268,0.447,0.757,0.736,0.552,0.385,3.94
Nawanshahr,2007,0.314,0.552,0.687,0.714,0.507,0.349,3.88
Nawanshahr,2008,0.344,0.494,0.734,0.695,0.513,0.372,4.1
Nawanshahr,2009,0.274,0.508,0.756,0.751,0.481,0.35,4.14
Nawanshahr,2010,0.301,0.459,0.787,0.749,0.604,0.383,3.98
Nawanshahr,2011,0.331,0.507,0.756,0.751,0.481,0.35,3.96
Nawanshahr,2012,0.284,0.485,0.751,0.782,0.596,0.396,4.14
Nawanshahr,2013,0.35,0.625,0.798,0.724,0.548,0.386,3.61
Nawanshahr,2014,0.295,0.531,0.737,0.765,0.499,0.391,3.96
Pathankot,2006,0.251,0.464,0.728,0.737,0.458,0.417,2.48
Pathankot,2007,0.299,0.553,0.765,0.717,0.462,0.341,2.48
Pathankot,2008,0.336,0.537,0.711,0.699,0.448,0.331,2.48
Pathankot,2009,0.233,0.37,0.747,0.758,0.51,0.33,2.48
Pathankot,2010,0.235,0.455,0.722,0.751,0.615,0.365,2.48
Pathankot,2011,0.3,0.37,0.747,0.758,0.51,0.33,2.48
Pathankot,2012,0.254,0.456,0.743,0.781,0.56,0.373,2.81
Pathankot,2013,0.338,0.627,0.785,0.723,0.56,0.381,2.69
Pathankot,2014,0.289,0.512,0.715,0.753,0.526,0.354,2.48
Patiala,2006,0.219,0.421,0.775,0.747,0.588,0.343,4.17
Patiala,2007,0.262,0.503,0.777,0.748,0.575,0.283,4.27
Patiala,2008,0.258,0.452,0.751,0.745,0.512,0.298,4.24
Patiala,2009,0.23,0.501,0.754,0.783,0.591,0.271,4.25
Patiala,2010,0.238,0.366,0.797,0.757,0.577,0.326,3.73
Patiala,2011,0.262,0.501,0.754,0.783,0.591,0.271,3.86
Patiala,2012,0.204,0.368,0.731,0.813,0.669,0.322,3.96
Patiala,2013,0.24,0.505,0.769,0.751,0.551,0.337,4.15
Patiala,2014,0.219,0.417,0.736,0.762,0.499,0.356,3.93
Rupnagar,2006,0.31,0.467,0.765,0.746,0.593,0.379,3.63
