District,Year,june,july,august,september,october,november,Yield
BHIWANI,2006,0.177,0.28,0.455,0.449,0.311,0.252,1.9
BHIWANI,2007,0.197,0.363,0.521,0.492,0.337,0.243,2.7
BHIWANI,2008,0.291,0.409,0.517,0.438,0.302,0.293,2.12
BHIWANI,2009,0.172,0.236,0.384,0.473,0.33,0.255,2.31
BHIWANI,2010,0.17,0.332,0.556,0.568,0.358,0.323,2.06
BHIWANI,2011,0.215,0.235,0.384,0.473,0.331,0.255,2.63
BHIWANI,2012,0.162,0.206,0.364,0.582,0.475,0.32,2.67
BHIWANI,2013,0.202,0.259,0.619,0.573,0.434,0.287,2.19
BHIWANI,2014,0.211,0.293,0.54,0.541,0.348,0.274,1.43
FARIDABAD,2006,0.264,0.411,0.613,0.593,0.422,0.273,3.07
FARIDABAD,2007,0.349,0.472,0.56,0.545,0.444,0.247,3.22
FARIDABAD,2008,0.348,0.44,0.632,0.593,0.458,0.288,2.6
FARIDABAD,2009,0.24,0.351,0.54,0.637,0.518,0.277,2.51
FARIDABAD,2010,0.236,0.417,0.535,0.585,0.483,0.295,1.88
FARIDABAD,2011,0.276,0.352,0.54,0.637,0.517,0.277,2.42
FARIDABAD,2012,0.23,0.343,0.554,0.672,0.488,0.267,2.33
FARIDABAD,2013,0.298,0.373,0.625,0.609,0.524,0.29,2.64
FARIDABAD,2014,0.271,0.35,0.537,0.586,0.452,0.255,2.73
FATEHABAD,2006,0.208,0.431,0.675,0.703,0.515,0.342,4.45
FATEHABAD,2007,0.236,0.437,0.657,0.705,0.547,0.349,4.35
FATEHABAD,2008,0.248,0.472,0.711,0.705,0.475,0.35,4.36
FATEHABAD,2009,0.201,0.415,0.589,0.711,0.564,0.287,3.58
FATEHABAD,2010,0.203,0.335,0.657,0.733,0.617,0.385,3.97
FATEHABAD,2011,0.197,0.415,0.589,0.712,0.565,0.287,3.73
FATEHABAD,2012,0.172,0.332,0.676,0.824,0.637,0.372,4.13
FATEHABAD,2013,0.214,0.358,0.721,0.723,0.582,0.332,3.87
FATEHABAD,2014,0.181,0.335,0.663,0.719,0.503,0.314,3.7
GURGAON,2006,0.214,0.322,0.509,0.486,0.311,0.267,2.58
GURGAON,2007,0.243,0.457,0.58,0.457,0.327,0.253,3.82
GURGAON,2008,0.33,0.516,0.592,0.438,0.331,0.328,2.31
GURGAON,2009,0.208,0.339,0.54,0.531,0.348,0.3,3.16
GURGAON,2010,0.207,0.458,0.547,0.55,0.369,0.327,2.72
GURGAON,2011,0.219,0.338,0.539,0.53,0.348,0.3,3.12
GURGAON,2012,0.195,0.302,0.502,0.596,0.417,0.31,2.92
GURGAON,2013,0.244,0.393,0.614,0.517,0.394,0.311,3.2
GURGAON,2014,0.226,0.328,0.527,0.522,0.342,0.318,3.2
HISAR,2006,0.193,0.324,0.571,0.622,0.466,0.331,2.66
HISAR,2007,0.245,0.39,0.561,0.633,0.492,0.326,2.63
HISAR,2008,0.265,0.393,0.607,0.613,0.474,0.354,2.72
HISAR,2009,0.186,0.3,0.431,0.574,0.492,0.408,2.17
HISAR,2010,0.19,0.324,0.571,0.66,0.525,0.408,2.53
HISAR,2011,0.215,0.3,0.432,0.574,0.492,0.328,2.59
HISAR,2012,0.167,0.252,0.463,0.68,0.583,0.406,2.42
HISAR,2013,0.226,0.317,0.659,0.635,0.572,0.358,2.71
HISAR,2014,0.203,0.31,0.533,0.594,0.433,0.295,2.83
JHAJJAR,2006,0.198,0.324,0.504,0.471,0.354,0.268,1.8
JHAJJAR,2007,0.236,0.42,0.555,0.489,0.385,0.266,2.29
JHAJJAR,2008,0.276,0.489,0.529,0.467,0.373,0.322,0.97
JHAJJAR,2009,0.179,0.281,0.481,0.518,0.375,0.289,1.81
JHAJJAR,2010,0.184,0.429,0.55,0.576,0.412,0.327,2
JHAJJAR,2011,0.203,0.281,0.481,0.518,0.376,0.289,2.17
JHAJJAR,2012,0.175,0.249,0.417,0.569,0.45,0.326,2.29
JHAJJAR,2013,0.22,0.412,0.619,0.54,0.455,0.298,2.39
JHAJJAR,2014,0.193,0.29,0.522,0.54,0.387,0.293,2.37
JIND,2006,0.208,0.352,0.623,0.651,0.493,0.296,2.65
JIND,2007,0.278,0.42,0.635,0.667,0.52,0.287,2.61
JIND,2008,0.235,0.423,0.655,0.646,0.532,0.32,2.34
JIND,2009,0.193,0.36,0.565,0.666,0.568,0.302,2.73
JIND,2010,0.215,0.377,0.672,0.722,0.586,0.364,2.49
JIND,2011,0.222,0.36,0.566,0.666,0.568,0.302,2.59
JIND,2012,0.183,0.28,0.553,0.74,0.664,0.405,2.79
JIND,2013,0.248,0.355,0.688,0.696,0.663,0.374,2.7
JIND,2014,0.207,0.32,0.607,0.703,0.561,0.339,2.68
KAITHAL,2006,0.21,0.394,0.712,0.688,0.516,0.307,3.14
KAITHAL,2007,0.257,0.452,0.722,0.704,0.51,0.268,3.37
KAITHAL,2008,0.229,0.439,0.7,0.68,0.505,0.283,2.5
KAITHAL,2009,0.206,0.473,0.691,0.738,0.559,0.266,2.92
KAITHAL,2010,0.241,0.356,0.734,0.742,0.559,0.327,2.75
KAITHAL,2011,0.235,0.473,0.691,0.738,0.559,0.266,2.9
KAITHAL,2012,0.19,0.295,0.668,0.785,0.651,0.343,3.15
KAITHAL,2013,0.226,0.443,0.734,0.728,0.57,0.345,3.29
KAITHAL,2014,0.195,0.323,0.691,0.735,0.546,0.341,3.23
KARNAL,2006,0.248,0.489,0.746,0.683,0.496,0.338,3.33
KARNAL,2007,0.3,0.525,0.736,0.684,0.496,0.294,3.65
KARNAL,2008,0.28,0.51,0.717,0.655,0.466,0.292,2.75
KARNAL,2009,0.221,0.517,0.731,0.751,0.525,0.285,3.04
KARNAL,2010,0.235,0.428,0.762,0.718,0.545,0.326,2.67
KARNAL,2011,0.283,0.517,0.731,0.751,0.525,0.285,3.04
KARNAL,2012,0.209,0.395,0.697,0.786,0.634,0.337,3.36
KARNAL,2013,0.238,0.5,0.761,0.715,0.577,0.352,3.52
KARNAL,2014,0.221,0.354,0.736,0.732,0.517,0.346,3.23
KURUKSHETRA,2006,0.269,0.551,0.79,0.73,0.527,0.401,4.04
KURUKSHETRA,2007,0.307,0.558,0.803,0.691,0.48,0.351,4.02
KURUKSHETRA,2008,0.291,0.523,0.74,0.68,0.424,0.348,3.36
KURUKSHETRA,2009,0.247,0.59,0.77,0.766,0.495,0.333,3.84
KURUKSHETRA,2010,0.285,0.476,0.795,0.737,0.56,0.367,3.2
KURUKSHETRA,2011,0.297,0.589,0.77,0.766,0.495,0.333,3.79
KURUKSHETRA,2012,0.236,0.429,0.733,0.801,0.628,0.36,4.31
KURUKSHETRA,2013,0.268,0.575,0.815,0.73,0.497,0.41,4.14
KURUKSHETRA,2014,0.254,0.519,0.766,0.738,0.462,0.418,3.52
MEWAT,2006,0.197,0.333,0.552,0.444,0.283,0.29,1.85
MEWAT,2007,0.21,0.452,0.583,0.456,0.337,0.282,2.58
MEWAT,2008,0.37,0.509,0.583,0.421,0.329,0.365,2.25
MEWAT,2009,0.182,0.298,0.507,0.531,0.36,0.327,2.98
MEWAT,2010,0.188,0.446,0.599,0.546,0.4,0.328,2.75
MEWAT,2011,0.221,0.298,0.507,0.531,0.36,0.327,2.97
MEWAT,2012,0.175,0.306,0.578,0.606,0.394,0.352,3.21
MEWAT,2013,0.219,0.402,0.655,0.537,0.379,0.352,3.2
MEWAT,2014,0.197,0.333,0.604,0.528,0.357,0.304,3.14
PALWAL,2006,0.269,0.407,0.63,0.53,0.36,0.255,2.72
PALWAL,2007,0.326,0.525,0.629,0.588,0.468,0.248,2.77
PALWAL,2008,0.39,0.49,0.66,0.576,0.428,0.295,2.75
PALWAL,2009,0.224,0.325,0.526,0.639,0.492,0.28,2.72
PALWAL,2010,0.249,0.458,0.643,0.659,0.51,0.289,2.76
PALWAL,2011,0.298,0.325,0.527,0.639,0.492,0.28,2.59
PALWAL,2012,0.22,0.347,0.622,0.703,0.51,0.297,2.68
PALWAL,2013,0.282,0.418,0.702,0.633,0.528,0.304,2.72
PALWAL,2014,0.258,0.395,0.619,0.627,0.474,0.279,2.75
PANCHKULA,2006,0.323,0.438,0.685,0.713,0.552,0.367,3.81
PANCHKULA,2007,0.348,0.488,0.682,0.664,0.546,0.381,2.82
PANCHKULA,2008,0.375,0.513,0.716,0.648,0.491,0.382,2.73
PANCHKULA,2009,0.252,0.371,0.68,0.709,0.579,0.395,2.73
PANCHKULA,2010,0.286,0.483,0.732,0.717,0.535,0.387,3.31
PANCHKULA,2011,0.365,0.371,0.681,0.71,0.58,0.396,2.73
PANCHKULA,2012,0.246,0.407,0.669,0.58,0.586,0.414,2.64
PANCHKULA,2013,0.37,0.599,0.764,0.698,0.589,0.414,3.8
PANCHKULA,2014,0.289,0.49,0.689,0.739,0.517,0.382,2.9
PANIPAT,2006,0.248,0.395,0.708,0.701,0.586,0.295,2.74
PANIPAT,2007,0.335,0.394,0.636,0.713,0.599,0.274,2.55
PANIPAT,2008,0.278,0.43,0.675,0.68,0.57,0.298,2.17
PANIPAT,2009,0.224,0.432,0.669,0.729,0.617,0.291,2.66
PANIPAT,2010,0.249,0.392,0.714,0.706,0.605,0.319,2.26
PANIPAT,2011,0.278,0.433,0.669,0.729,0.617,0.291,2.64
PANIPAT,2012,0.218,0.3,0.627,0.759,0.67,0.355,2.77
