District,Year,june,july,august,september,october,november,Yield
Auraiya,2010,0.205,0.321,0.466,0.658,0.551,0.461,2.68
Auraiya,2011,0.239,0.275,0.463,0.62,0.533,0.412,2.9
Auraiya,2012,0.207,0.3,0.517,0.653,0.568,0.396,3.13
Auraiya,2013,0.275,0.443,0.557,0.645,0.584,0.438,3.29
Auraiya,2014,0.244,0.253,0.529,0.661,0.569,0.352,3.16
Auraiya,2015,0.238,0.342,0.557,0.61,0.482,0.401,2.82
Auraiya,2016,0.258,0.339,0.561,0.671,0.53,0.364,3.06
Auraiya,2017,0.302,0.358,0.597,0.694,0.578,0.374,2.97
Auraiya,2018,0.247,0.264,0.425,0.654,0.574,0.403,3.09
Auraiya,2019,0.272,0.34,0.507,0.754,0.683,0.436,3.5
Azamgarh,2006,0.33,0.37,0.62,0.672,0.618,0.429,1.47
Azamgarh,2007,0.299,0.366,0.531,0.685,0.664,0.438,1.93
Azamgarh,2008,0.261,0.396,0.56,0.683,0.593,0.407,1.97
Azamgarh,2009,0.273,0.352,0.594,0.734,0.585,0.436,1.75
Azamgarh,2010,0.232,0.4,0.565,0.682,0.636,0.496,2.05
Azamgarh,2011,0.292,0.352,0.594,0.734,0.585,0.436,2.22
Azamgarh,2012,0.229,0.352,0.596,0.72,0.629,0.445,2.15
Azamgarh,2013,0.295,0.444,0.592,0.713,0.655,0.455,2.2
Azamgarh,2014,0.275,0.377,0.594,0.682,0.66,0.459,1.98
Azamgarh,2015,0.291,0.473,0.614,0.678,0.61,0.448,1.97
Azamgarh,2016,0.291,0.366,0.692,0.742,0.67,0.408,2.25
Azamgarh,2017,0.313,0.386,0.662,0.75,0.629,0.439,2.37
Azamgarh,2018,0.296,0.351,0.546,0.761,0.614,0.445,2.46
Azamgarh,2019,0.253,0.319,0.505,0.65,0.716,0.489,2.48
Baghpat,2006,0.419,0.63,0.725,0.65,0.573,0.491,2.6
Baghpat,2007,0.439,0.613,0.664,0.649,0.557,0.466,3.02
Baghpat,2008,0.439,0.611,0.684,0.649,0.587,0.496,2.32
Baghpat,2009,0.372,0.627,0.653,0.691,0.586,0.465,2.72
Baghpat,2010,0.396,0.622,0.69,0.65,0.575,0.487,2.35
Baghpat,2011,0.467,0.627,0.653,0.691,0.586,0.465,2.8
Baghpat,2012,0.367,0.541,0.619,0.709,0.596,0.491,3.04
Baghpat,2013,0.489,0.605,0.663,0.631,0.64,0.524,3.04
Baghpat,2014,0.423,0.635,0.668,0.659,0.564,0.463,2.51
Baghpat,2015,0.389,0.644,0.682,0.63,0.587,0.502,2.75
Baghpat,2016,0.453,0.638,0.716,0.663,0.562,0.493,2.59
Baghpat,2017,0.476,0.701,0.711,0.694,0.613,0.488,2.79
Baghpat,2018,0.464,0.627,0.706,0.692,0.626,0.519,2.85
Baghpat,2019,0.515,0.689,0.659,0.731,0.639,0.54,3.08
Baharaich,2006,0.303,0.419,0.615,0.69,0.6,0.429,1.66
Baharaich,2007,0.34,0.364,0.549,0.663,0.616,0.421,1.85
Baharaich,2008,0.337,0.459,0.622,0.673,0.556,0.393,1.96
Baharaich,2009,0.301,0.398,0.629,0.72,0.598,0.425,2.01
Baharaich,2010,0.284,0.457,0.584,0.7,0.611,0.432,2.07
Baharaich,2011,0.386,0.398,0.629,0.72,0.598,0.425,2.21
Baharaich,2012,0.278,0.396,0.587,0.718,0.616,0.469,2.39
Baharaich,2013,0.453,0.48,0.642,0.729,0.677,0.434,2.36
Baharaich,2014,0.307,0.397,0.609,0.711,0.647,0.423,2.22
Baharaich,2015,0.302,0.465,0.621,0.716,0.623,0.436,1.89
Baharaich,2016,0.356,0.416,0.672,0.735,0.633,0.409,2.26
Baharaich,2017,0.393,0.499,0.614,0.756,0.633,0.445,2.54
Baharaich,2018,0.347,0.448,0.635,0.753,0.591,0.426,2.61
Baharaich,2019,0.364,0.452,0.557,0.77,0.681,0.47,2.67
Ballia,2006,0.308,0.37,0.592,0.658,0.613,0.417,1.34
Ballia,2007,0.287,0.332,0.52,0.661,0.602,0.393,1.85
Ballia,2008,0.252,0.294,0.48,0.616,0.55,0.358,1.96
Ballia,2009,0.276,0.302,0.593,0.661,0.538,0.379,1.09
Ballia,2010,0.221,0.332,0.544,0.645,0.629,0.488,1.91
Ballia,2011,0.317,0.302,0.593,0.662,0.538,0.379,2.54
Ballia,2012,0.214,0.305,0.614,0.676,0.577,0.436,2.18
Ballia,2013,0.297,0.368,0.554,0.604,0.6,0.437,2.22
Ballia,2014,0.282,0.37,0.524,0.669,0.619,0.378,2.06
Ballia,2015,0.278,0.437,0.519,0.651,0.569,0.398,1.69
Ballia,2016,0.306,0.35,0.664,0.675,0.616,0.411,2.39
Ballia,2017,0.299,0.318,0.537,0.72,0.586,0.417,2.5
Ballia,2018,0.263,0.289,0.479,0.666,0.577,0.419,2.49
